SKU_ID,Category,Sub_Category,Product_Age_Years1,Condition_Tier,Best_Online_Price,Final_Listed_Price,Status,Source,Original Listing,Listing_ID,Brand,Model_Name,Purchase_Year,Product_Age_Years,Condition_Tier,Condition_Notes,Functional_Status,Repaired_or_Serviced,Media_Complete,Image_URL_1 (Screen ON / Action Pose),Image_URL_2 (Front Frame),Image_URL_3 (Accessories),Image_URL_4 (Serial Label / Branding),Video_URL,Suggested_Price_Range,MRP_Price,Created_At,Last_Updated_At,Spec_1,Spec_2,Spec_3,Spec_4,Spec_5,Spec_6,Spec_7,Spec_8,Spec_9,Spec_10,Accessory_1,Accessory_2,Accessory_3,Accessory_4,Accessory_5,warranty_period,brand_tier
TCL_IF32A51_HD2023,TV,Smart LED TV,3,Mint,8000,8499.00,Sold,FB,Link,TV_IFFALCON_001,iFFALCON,32F2A Android Smart,2023,1,Mint,"Excellent condition, powered on and tested. Plastic film still intact. No scratches, clean frame, wall mounted.",Fully functional,No,Yes,https://drive.google.com/drive/folders/1gvt2xN3_Vfj6EUUwgQ7cUuloHS29-oCj?usp=drive_link,,,,,"₹7,500 – ₹9,000","26,990",22/04/2025,22/04/2025,32 inch,HD,LED,Android TV,"2 HDMI, 1 USB",Yes,20W,60Hz,F2A Series,India,Yes,No,Yes,Yes,No,,
HAIER_LE43K7500UGA_2024,TV,Smart LED TV,2,Good,27500,14499.00,Sold,FB,Link,TV_HAIER_001,Haier,LE43K7500UGA,2024,1,Good,Small vertical line visible on screen in some backgrounds. Fully functional otherwise with box and remote.,Fully functional,No,Yes,003 - TV_HAIER_001,,,,,"₹13,000 – ₹15,000","₹50,990",23/04/2025,23/04/2025,43 inch,4K UHD,LED,Android 11,"3 HDMI, 2 USB",Yes,20W,60Hz,K7500 Series,India,Yes,Yes,Yes,Yes,Yes,,
DIESEL_DZ1847_2023,Watch,Analog,3,Very Good,5295,4200.00,Sold,Mohamed - Power seller,,WATCH_DIESEL_001,Diesel,DZ1847,2023,2,Very Good,"Occasional use, aftermarket strap, fully functional",Fully Functional,No,Yes,0011 - WATCH_DIESEL_001,,,,,"₹3,900 – ₹4,400","₹9,795",27/05/2025,27/05/2025,Display Type: Analog,Dial Color: Blue,Strap Material: Aftermarket Leather,Case Diameter: ~46 mm,Case Thickness: ~12 mm,Case Material: Stainless Steel,Movement Type: Quartz,Water Resistance: 10 BAR,Crystal Type: Mineral,Date Display: Yes,No,No,No,No,No,,
CAT_LR-111-21-127_2023,Watch,Analog,3,Very Good,6000,3800.00,Ready,Mohamed - Power seller,,WATCH_CAT_002,Caterpillar,LR-111-21-127 (Visual Match),2023,2,Very Good,"8/10 condition, occasional use, original strap",Fully Functional,No,Yes,0012 - WATCH_CAT_002,,,,,"₹3,500 – ₹4,000","₹9,000 (est.)",27/05/2025,27/05/2025,Display Type: Analog,Dial Color: Black with Yellow Accents,Strap Material: Rubber,Case Diameter: ~44 mm,Case Material: Stainless Steel,Movement Type: Quartz (Japan),Water Resistance: 100M,Crystal Type: Mineral,Lug Width: 22 mm,Crown Type: Push/Pull with Logo,,,,,,,
LOUIS_CHRONO_2023,Watch,Analog Chronograph,3,Very Good,3900,3000.00,Ready,Mohamed - Power seller,,WATCH_LOUIS_003,Louis Arden,Chronograph Rectangular (Visual),2023,2,Very Good,"7.5/10 condition, signs of wear, fully functional",Fully Functional,No,Yes,0013 - WATCH_LOUIS_003,,,,,"₹2,800 – ₹3,200","₹5,500 (estimated)",27/05/2025,27/05/2025,Display Type: Analog Chronograph,Dial Shape: Rectangular,Dial Color: Black,Bracelet Material: Stainless Steel,Movement Type: Quartz,Chronograph Subdials: Yes,Date Display: Yes,Crystal Type: Mineral,,Crown Type: Push/Pull with Logo,,,,,,,
SEKONDA_N3729_2023,Watch,Analog,3,Mint,4200,3800.00,Ready,Mohamed - Power seller,,WATCH_SEKONDA_004,Sekonda,N3729,2023,2,Mint,"Pristine condition, fully functional",Fully Functional,No,Yes,0014 - WATCH_SEKONDA_004,,,,,"₹3,400 – ₹3,900","₹5,500 (est.)",27/05/2025,27/05/2025,Display Type: Analog,Dial Color: White,Case Shape: Round,Bracelet Material: Stainless Steel,Movement Type: Quartz,Water Resistance: 50 Metres,Date Display: Yes,Crystal Type: Mineral Glass,Case Material: Stainless Steel,Clasp Type: Fold-over (Engraved),,,,,,,
WESTAR_90015TSN_2023,Watch,Analog,3,Like New,3200,2000.00,Ready,Mohamed - Power seller,,WATCH_WESTAR_005,Westar,Activ 90015TSN,2023,2,Like New,"9.5/10, aftermarket strap, fully functional",Fully Functional,No,Yes,0015 - WATCH_WESTAR_005,,,,,"₹1,800 – ₹2,200","₹4,000 (estimated)",27/05/2025,27/05/2025,Display Type: Analog,Dial Color: Black,Strap Material: Rubber (Aftermarket),Case Diameter: ~44 mm,Case Material: Stainless Steel,Movement Type: Quartz,Water Resistance: 5 ATM,Crystal Type: Mineral,Date Display: Yes,Crown Type: Push/Pull,,,,,,,
TITAN_9308KM02,Watch,Analog Watch,3,Good,0,3000.00,Live,Power Seller (Mohamed),,WATCH_TITAN_001,Titan,9308KM02,Unknown,~2 (Est.),Good,"Minor scuffs on back, overall polished appearance, functioning chronograph",Fully functional,No,Yes,0006 - WATCH_TITAN_001,,,,,"₹2,700 – ₹3,200","₹11,500",07/05/2025,07/05/2025,44mm,Analog,Casual,Stainless Steel,100m,Quartz,Mineral,Chronograph,Titan Octane,India,No,No,No,No,No,,
POLICE_P14374JS_22M,Watch,Analog Watch,4,Good,0,2600.00,Sold,Power Seller (Mohamed),,WATCH_POLICE_002,Police,P14374JS-22M,Unknown,~3 (Est.),Good,"Minor wear, aftermarket leather strap. No major scratches.",Fully functional,No,Yes,0007 - WATCH_POLICE_002,,,,,"₹2,200 – ₹2,700","₹14,500",07/05/2025,07/05/2025,44mm,Analog,Casual,Aftermarket Leather,50m,Quartz,Mineral,Day & Date Display,N/A,India,No,No,No,No,No,,
FOSSIL_CH2600,Watch,Men's Analog,2,Excellent,9995,3600.00,Sold,Power Seller (Mohamed),,WATCH_FOSSIL_003,Fossil,Decker CH2600,Unknown,,Excellent,"Minor signs of wear, bracelet and glass in good condition, fully functional",Fully functional,No,Yes,0008 - WATCH_FOSSIL_003,,,,,"₹3,200 – ₹3,600","₹8,995",07/05/2025,07/05/2025,44mm,Analog,Casual,Stainless Steel,100m,Quartz,Mineral,"Chronograph, Date Display, Tachymeter",Decker,India,No,No,No,No,No,,
